Date,Temperature (°C),Humidity (%),Wind Speed (m/s),Holiday,New Housing Units,Commercial Area Growth (m²),Population Growth (%),Electricity Demand (MW)
2023-01-01 00:00:00,20.77402610922738,51.476490302913774,0.8577917016988686,0,1182,177.37511685014618,0.7572287144304928,2395.364262582133
2023-01-01 01:00:00,37.6025942155229,51.23302787872831,1.8114229200685323,1,1058,891.7005926452408,0.34203295286727137,5823.40696271473
2023-01-01 02:00:00,33.94869476815036,62.56728236589822,1.4179154113094943,0,1725,940.9531169753333,0.9284881651198645,6489.383198443383
2023-01-01 03:00:00,10.873942751408514,34.18598107835779,3.382414193883331,0,1080,570.7775497751065,0.7126317850319865,4999.981961901924
2023-01-01 04:00:00,39.88274852491237,40.614578856474736,3.578982662296838,1,1309,460.0092337726827,0.2811842744594124,5986.273533104396
2023-01-01 05:00:00,39.282890265045516,75.83570442328148,4.3734083719207755,1,1102,385.87508882250825,0.31353007842458036,6117.7519948703375
2023-01-01 06:00:00,30.578561710771343,43.91117626677954,4.9435293804026585,0,596,882.2941954241395,0.8019347621039582,4478.651885927031
2023-01-01 07:00:00,42.13334400359189,38.97990273706279,1.2855698434067477,1,588,904.1134796009846,0.14087136039486634,3246.499222100061
2023-01-01 08:00:00,44.91441369118112,75.4348635910346,2.977798283156944,1,663,923.5039677701387,0.11295467792593972,2904.583419347872
2023-01-01 09:00:00,22.10552922390726,65.19909382729486,3.935924708256091,0,848,616.0173372818854,0.30697694986882224,6607.745662353177
2023-01-01 10:00:00,16.66908983402828,53.65090657725802,3.6039991865868837,0,1989,944.8532046945814,0.6189516407796672,2157.837784199413
2023-01-01 11:00:00,37.949348095746096,43.58932094400935,3.9939698630545015,0,1979,186.95136546687417,0.7806072065959226,8153.747158431401
2023-01-01 12:00:00,14.52646276285066,36.59908002083373,2.1310062086746226,1,811,116.29522745591504,0.6745620103908769,6674.301504386117
2023-01-01 13:00:00,29.78955790436583,51.3499909548697,1.844801858346325,1,868,730.966194540417,0.3110825355360777,5452.035651548746
2023-01-01 14:00:00,25.129681894032643,37.4284501427873,3.7019655378973555,0,512,776.9287917329269,0.2258916444043228,4943.782484457872
2023-01-01 15:00:00,10.865854686481576,46.79490411951352,1.2008096756634492,1,1015,142.04075562723992,0.7404062340823694,7833.98945078571
2023-01-01 16:00:00,24.557216685610534,63.28041474014085,4.484849152778013,1,1940,984.9407950309356,0.3577087443169513,1607.2827545078192
2023-01-01 17:00:00,18.01532793285647,33.43415392450782,1.8715821020466286,1,1297,928.8736905636055,0.44575559859109193,6676.985767016123
2023-01-01 18:00:00,41.73751659290157,55.8299627733484,4.514115130875161,0,593,432.0866826672634,0.8121886091114358,6767.930092446461
2023-01-01 19:00:00,27.645295625943344,65.95831824149668,1.6541796098123163,0,1567,554.6504940980744,0.45296144749046974,7324.000003109143
2023-01-01 20:00:00,18.733148503193682,55.646815667263034,4.48362988906808,0,1438,381.6414911846561,0.3673683568302081,8146.740173308767
2023-01-01 21:00:00,22.544944086690997,68.43587767647554,4.954290234078705,0,550,197.7122754770816,0.27901127238586554,2892.9243245520065
2023-01-01 22:00:00,44.42163730716692,45.40021859891844,1.4510897126658568,1,748,354.46091120509874,0.4765475911405488,8141.2502610660695
2023-01-01 23:00:00,26.7802768274318,49.48238914420513,2.9545668404263674,0,1597,969.4334482283745,0.12116951946553958,8297.942259491003
2023-01-02 00:00:00,19.89286245293266,78.01747450152811,2.644315871791004,0,803,542.6600206966343,0.8542583599510845,4785.294625495975
2023-01-02 01:00:00,24.456416459990386,68.12720991433989,1.4696488812919997,1,1890,768.681998883245,0.15847940270887628,5555.379194978666
2023-01-02 02:00:00,31.582167401905146,36.79473344450679,4.898832207167639,0,1909,599.1907709325933,0.6096454099177687,1797.0021817037707
2023-01-02 03:00:00,38.700595499637174,48.67649547713394,2.2204630078316083,0,1837,947.5446969382964,0.25841405877256196,4148.648716778472
2023-01-02 04:00:00,10.977059890221984,48.29305678194436,4.76877201335088,1,781,511.6331317874507,0.6214317953103079,2480.3115783517687
2023-01-02 05:00:00,38.4118189013833,50.81198956788633,3.970930805185588,1,1047,633.1499073922682,0.6759226881123306,7984.2782983511615
2023-01-02 06:00:00,29.458366467192818,72.29501106297369,4.442917161056206,0,932,121.51967086229111,0.14321049955819043,7222.007675355896
2023-01-02 07:00:00,32.85133246975677,33.14678795629609,0.7931864216148357,1,1034,184.51071997234402,0.6214983614442375,1517.377599574553
